id,title,column,type,age_days,risk,owner,description,dependencies,assumptions,raid_flags
1,Data Pipeline Integration - Acme Corp,in_progress,integration,3,medium,Engineering,Connect Acme Corp data warehouse to BlastPoint ingestion layer via REST API. Schema mapping in progress.,API access confirmed; schema doc pending,OAuth2 tokens will rotate every 24h,A:Token rotation cadence unconfirmed
2,SOW Review — RetailMax Q2,intake,feature,1,low,TPM,Initial SOW received from sales team post-close. Needs decomposition into epics and backlog items.,None,Scope aligns with standard implementation template,
3,API Auth Discovery — FinServ Co,discovery,integration,2,high,Data Science,Validate OAuth2 assumptions and map firewall constraints for FinServ Co environment. Network team engaged.,Firewall ticket submitted,API is REST not SOAP,I:Firewall ticket open 4d — escalated
4,UAT — Customer Segment Model v2,review,feature,1,low,Launch,Final acceptance testing with TechRetail stakeholders. UAT scripts drafted and signed off.,Dev build deployed to staging,Staging parity with prod confirmed,
5,Schema Validation Framework,ready_execution,infra,0,medium,Engineering,All dependencies cleared. Acceptance criteria defined. Ready to pull into sprint.,Data Science sign-off received,Schema is static for initial release,
6,Platform Onboarding — MediCore,done,feature,14,low,CS,Deployed and live. Monitoring active. Stakeholder sign-off received on Day 12.,None,None,
7,Data Schema Mapping — LogiTrack,ready_analysis,integration,1,medium,Data Science,Prioritized for discovery sprint. Initial data samples received from client.,LogiTrack data export ready,Source schema stable,
8,ML Model Feature Flags,intake,feature,3,low,Engineering,Request from Product to expose feature flag controls for ML model variant testing in dashboard.,None,Feature flag library already in codebase,
9,CI/CD Pipeline Hardening,ready_execution,infra,2,low,Engineering,Improve deployment reliability and add automated rollback triggers for failed health checks.,Test coverage >85% confirmed,Rollback time under 5 min feasible,
10,SOC 2 Evidence Collection,in_progress,compliance,5,high,TPM,Gathering audit evidence across 14 control areas. Auditor requested additional logging artifacts.,All control owners identified,Log retention policy already meets SOC 2,R:3 control areas pending owner response
11,Customer Data Import — NovaTech,discovery,integration,2,medium,Data Science,Mapping NovaTech's legacy flat-file exports to BlastPoint ingestion format. Format inconsistencies found.,NovaTech IT engaged,Files are UTF-8 encoded,A:Encoding assumption unverified — 2 files showed anomalies
12,Segment Dashboard — Retail Pilot,done,feature,21,low,Engineering,Retail pilot segment dashboard shipped. 3 clients using in production. Performance SLAs met.,None,None,
13,API Rate Limit Strategy,ready_analysis,infra,0,low,Engineering,Define throttling and retry logic for high-volume BlastPoint API consumers.,Rate limit policy doc drafted,Client call volumes fit within current limits,
14,Executive KPI Dashboard,in_progress,feature,4,medium,Engineering,Build real-time KPI dashboard for C-suite view of implementation health across all active clients.,Design approved; data model signed off,Looker connector available,D:Dependent on Schema Validation Framework (#5)
15,Data Quality Alerting,ready_execution,infra,1,medium,Data Science,Automated anomaly detection alerts for ingestion pipeline. Logic approved by Data Science lead.,Pipeline stable in staging,Alert thresholds agreed with ops,
16,SSO Integration — BankFirst,in_progress,integration,6,high,Engineering,Implementing SAML 2.0 SSO for BankFirst enterprise portal. IdP metadata received but cert expiry issue found.,SAML metadata received,IdP cert valid through Q3,I:IdP cert expires in 11 days — renewal ticket raised with BankFirst IT
17,Retrospective — Q1 Implementations,done,process,8,low,TPM,Q1 retro completed. 4 action items captured: discovery checklist updated; WIP limits adjusted; onboarding template revised.,None,None,
18,Onboarding Template Refresh,ready_analysis,process,2,low,CS,Update CS onboarding template based on Q1 retro findings. Three new checklist items identified.,Retro action items finalized,New template backward-compatible with existing clients,
19,Performance Baseline Testing,review,infra,2,medium,Engineering,Load and stress testing against production-parity environment. Results being reviewed by platform team.,Load test scripts complete,Prod environment provisioned at full scale,
20,PII Data Masking Layer,discovery,compliance,3,high,Data Science,Design and validate PII masking approach for GDPR-scoped client data before ingestion.,Legal review in progress,All PII fields identified in source schema,R:Legal review delayed — may impact go-live date;A:PII field list complete (unverified)
21,Webhook Event System,ready_execution,feature,1,low,Engineering,Event-driven webhook delivery for client system notifications. Spec reviewed and approved.,Event schema finalized,Client endpoints can accept POST payloads,
22,Client Portal — HealthTrack,intake,feature,2,medium,TPM,HealthTrack requesting a client-facing portal for accessing their segment models. Needs feasibility review.,None,Standard portal template applies,R:HealthTrack contract scope unclear on portal access
23,Data Lineage Tracking,intake,infra,0,low,Data Science,Track data provenance from ingestion through model output for audit and debugging purposes.,None,Existing pipeline emits sufficient metadata,
24,Model Accuracy Reporting,done,feature,30,low,Engineering,Automated weekly accuracy reports deployed. Clients receiving scheduled emails. No support tickets raised.,None,None,
25,Runbook — Ingestion Failures,review,process,3,low,TPM,Draft runbook for ingestion pipeline failure scenarios. Peer review with on-call engineering team in progress.,Failure scenarios documented,All failure modes covered in initial draft,
26,Multi-tenant Isolation Audit,in_progress,compliance,7,high,Engineering,Audit tenant data isolation controls. Two edge cases found in shared caching layer. Fixes in PR.,Audit scope defined,Caching layer fully tenant-isolated,I:Caching edge case in PR review — blocking audit sign-off
27,Discovery Kickoff — EduPath,ready_analysis,integration,0,low,TPM,EduPath signed yesterday. Pre-kickoff checklist started. Discovery session scheduled for Day 3.,SOW reviewed,EduPath IT available for discovery call,
28,Monitoring Dashboard v2,done,infra,18,low,Engineering,Upgraded monitoring dashboard with real-user metrics. Integrated with PagerDuty. All alerts active.,None,None,
