id,project,type,category,response_strategy,status,description,probability,impact,risk_score,analysis_method,rationale,owner,target_date,trend,notes
R-01,Acme Corp,R,Data,Mitigate,Open,Customer data source may not meet latency SLA required for real-time analytics,Medium,High,High,Decision Tree Analysis,Spike chosen to cap potential 6-week rework risk; proceed vs wait evaluated,TPM,2026-03-15,↑,2-week spike approved in sprint planning
R-02,BankFirst,R,Security,Avoid,Open,SOC 2 control validation may delay production release,Low,High,Medium,P×I Matrix,Controls pulled forward in schedule to remove as a release gate,Security Lead,2026-03-20,→,Controls tracked via compliance checklist
R-03,NovaTech,R,Schedule,Accept,Accepted,Parallel dev tracks may cause rework if data ingestion slips,Medium,Medium,Medium,Sensitivity Analysis,Rework cost modeled lower than cost of delaying feature start; buffer retained,TPM,—,↓,Accepted with buffer
R-04,HealthTrack,R,Scope,Defer,Open,Mid-implementation request to add analytics dimension not in SOW,Medium,Medium,Medium,Decision Tree Analysis,DTA showed asymmetric downside if accepted mid-stream; deferred to Phase 2,Product,—,↓,Logged as Phase 2 backlog
R-05,LogiTrack,R,Operations,Mitigate,Open,Incomplete monitoring config could mask early production issues,Low,High,Medium,FMEA,Failure modes reviewed pre-launch; runbooks updated with alert thresholds,SRE Lead,2026-03-18,→,Runbooks in review
R-06,FinServ Co,R,Security,Mitigate,Open,OAuth2 token rotation window unknown — may cause silent auth failures,High,High,High,Spike / Feasibility Test,Early validation spike scheduled Sprint 1; cheaper than downstream debugging,Eng Lead,2026-03-10,↑,Spike in progress
R-07,EduPath,R,Data,Mitigate,Open,PII data masking approach unvalidated before ingestion pipeline build,Medium,High,High,FMEA,Legal review gate added before ingestion work begins,Data Science,2026-03-22,↑,Legal review initiated
R-08,MediCore,R,Compliance,Mitigate,Closed,HIPAA audit trail requirements not fully scoped in initial SOW,Low,High,Medium,Checklist,Audit trail requirements added to acceptance criteria before dev started,TPM,—,↓,Resolved — added to AC
A-01,Acme Corp,A,Scope,Validate,Open,Customer will provide complete data schema documentation by kickoff,Medium,Medium,Medium,Reference Class Forecasting,Historical integrations show ~40% schema delay rate; escalation path defined,Customer PM,2026-03-05,↑,Escalate if schema incomplete at T-3
A-02,NovaTech,A,Data,Validate,Open,Source files are UTF-8 encoded — encoding inconsistency found in 2 files,High,Medium,High,Spike / Feasibility Test,Encoding sweep added to discovery checklist; 2 anomalies already surfaced,Data Science,2026-03-08,↑,Sweep in progress
A-03,BankFirst,A,Integration,Validate,Open,IdP certificate valid through Q3 — expiry in 11 days discovered in discovery,High,High,High,Checklist,Cert renewal ticket raised with BankFirst IT; blocking SSO completion,Eng Lead,2026-03-07,↑,Renewal ticket open — aging
A-04,LogiTrack,A,Scope,Validate,Validated,Source data schema is stable and will not change during implementation,Low,Medium,Low,SME Review,Schema confirmed stable by LogiTrack data team; signed off in discovery,Data Science,—,↓,Validated — no action needed
A-05,EduPath,A,Integration,Validate,Open,EduPath IT team available and responsive for discovery call participation,Low,Low,Low,SME Review,EduPath confirmed availability; discovery session scheduled Day 3,TPM,2026-03-12,→,On track
A-06,HealthTrack,A,Scope,Validate,Open,Standard client portal template applies without customization,Medium,Medium,Medium,Reference Class Forecasting,Contract scope review in progress; portal access unclear in current SOW,TPM,2026-03-14,↑,Scope review initiated
I-01,FinServ Co,I,Integration,Resolve,Open,Firewall ticket blocking API access validation — open 4 days with no response,—,High,High,Flow Metrics,WIP age flagged; escalated to FinServ Co network team and account exec,Eng Lead,2026-03-06,↑,Escalated to AE — aging blocker
I-02,BankFirst,I,Security,Resolve,Open,IdP cert expires in 11 days — renewal not yet initiated by client IT,—,High,High,Leading Indicators,Raised in standup; renewal ticket created; BankFirst IT engaged,Eng Lead,2026-03-07,↑,Hard deadline — monitor daily
I-03,Acme Corp,I,Compliance,Resolve,Open,3 SOC 2 control areas have no assigned owner — audit evidence blocked,—,High,High,Flow Metrics,Control owner gap flagged to CISO; assignments requested within 48h,TPM,2026-03-09,↑,CISO engaged
I-04,NovaTech,I,Data,Resolve,Resolved,File encoding inconsistency caused ingestion failure in dev environment,—,Medium,Medium,Root Cause Analysis,Encoding normalization added to pipeline; retested and passing,Data Science,—,↓,Resolved — pipeline updated
I-05,LogiTrack,I,Operations,Resolve,Open,Multi-tenant caching edge case found — tenant data isolation not guaranteed,—,High,High,FMEA,Fix in PR review; blocking audit sign-off; reviewer assigned,Engineering,2026-03-11,↑,PR open — awaiting review
D-01,Acme Corp,D,External,Mitigate,Open,Third-party analytics API rate limits undocumented — spike required,Medium,Medium,Medium,Spike / Feasibility Test,Early spike scheduled Sprint 1; throttling fix cheaper upstream,Eng Lead,2026-03-10,→,Spike Sprint 1
D-02,HealthTrack,D,Data,Mitigate,Open,Executive KPI dashboard blocked on Schema Validation Framework completion,Medium,Medium,Medium,Dependency Map,Sequenced in Kanban; Schema Framework in Ready for Execution,Engineering,2026-03-18,→,Sequenced on board
D-03,MediCore,D,External,Mitigate,Resolved,CS onboarding blocked on platform deployment sign-off,Low,Medium,Low,Dependency Map,Platform deployed; CS onboarding unblocked,CS,—,↓,Resolved
D-04,EduPath,D,Integration,Mitigate,Open,Discovery cannot advance until SOW scope is formally confirmed by sales,Low,Medium,Low,Dependency Map,Sales transfer call scheduled; SOW review in progress,TPM,2026-03-13,→,On track
D-05,FinServ Co,D,External,Mitigate,Open,Model training cannot begin until data validation pipeline is complete,High,High,High,Dependency Map,Validation pipeline in Discovery; blocking model work; sequenced on board,Data Science,2026-03-15,↑,Hard dependency — tracked on board
