id,project,section,deliverable,owner,workstream,rom_days,confidence,status,dor_ac,dor_deps,dor_owner,dor_sized,dor_raid,spike_needed,committed_date,notes,business_value,time_criticality,risk_reduction,target_date,pipeline_step,is_blocked,is_spike
D-01,Acme Corp,3.1,Data Pipeline — Ingestion & Transformation Layer,Data Science,Data,12,Medium,In Decomposition,true,false,true,false,false,true,2026-03-28,Schema unknowns require spike before final sizing,8,7,7,2026-03-31,02,false,false
D-02,Acme Corp,3.2,OAuth2 Token Rotation Integration,Engineering,Platform/Dev,5,Low,Blocked,true,false,true,false,false,false,2026-03-21,Blocked on token cadence assumption — RAID A-01,7,9,6,2026-03-28,03,true,false
D-03,Acme Corp,3.3,Executive Reporting Dashboard,Engineering,Platform/Dev,8,High,Ready for Execution,true,true,true,true,true,false,2026-04-04,All DoR gates cleared; cards in Ready for Execution,8,6,5,2026-04-04,07,false,false
D-04,BankFirst,2.1,SSO Integration — IdP Configuration,Engineering,Platform/Dev,6,Low,Blocked,true,false,true,false,true,false,2026-03-18,IdP cert expiry blocking — RAID I-02; at risk vs committed date,9,10,8,2026-03-25,06,true,false
D-05,BankFirst,2.2,Role-Based Access Control Matrix,Engineering,Platform/Dev,4,High,In Decomposition,true,true,true,true,true,false,2026-03-25,Clean decomposition; sizing in progress,7,7,6,2026-03-08,02,false,false
D-06,NovaTech,4.1,Customer Data Import Pipeline,Data Science,Data,10,Medium,Spike In Progress,false,false,true,false,true,true,2026-04-10,Spike running on encoding anomalies — 2 days remaining,8,6,7,2026-04-14,03,false,true
D-07,NovaTech,4.2,Data Quality Validation Framework,Data Science,Data,7,High,Ready for Execution,true,true,true,true,true,false,2026-04-17,All DoR gates cleared,7,5,6,2026-04-17,07,false,false
D-08,FinServ Co,1.1,API Authentication Layer,Engineering,Platform/Dev,5,Low,Blocked,false,false,true,false,true,false,2026-03-20,Firewall access blocking API validation — RAID I-01,7,9,7,2026-03-27,05,true,false
D-09,FinServ Co,1.2,Transaction Event Streaming,Engineering,Platform/Dev,9,Medium,In Decomposition,true,false,true,false,false,true,2026-04-01,Throughput assumptions unvalidated — spike recommended,7,7,6,2026-04-05,03,false,true
D-10,HealthTrack,5.1,Patient Portal — Access & Authentication,Engineering,Platform/Dev,8,Medium,In Decomposition,true,false,true,false,false,false,2026-04-14,Contract scope unclear on portal access level — RAID R-04,7,6,6,2026-04-14,02,false,false
D-11,HealthTrack,5.2,Compliance Reporting Module,Data Science,Data,6,High,Ready for Execution,true,true,true,true,true,false,2026-04-21,HIPAA controls validated; all DoR gates cleared,8,5,7,2026-04-21,07,false,false
D-12,EduPath,1.1,Discovery & Requirements Kickoff,TPM,Stakeholders,3,High,In Progress,true,true,true,true,true,false,2026-03-14,Kickoff underway; sizing pass scheduled Day 5,9,9,9,2026-03-14,04,false,false
